,順位,登録番号,選手名,級別,得点率,得点,減点,出走回数,節間成績,節間成績,節間成績,節間成績,節間成績,節間成績,節間成績,節間成績,節間成績,節間成績
,順位,登録番号,選手名,級別,得点率,得点,減点,出走回数,初日,初日.1,2日目,2日目.1,3日目,3日目.1,4日目,4日目.1,5日目,5日目.1
0,1,4166,吉田拡郎,A1,9.00,45,,5,2,2,1,1,3.0,,,,,
1,2,4174,赤坂俊輔,A1,8.20,41,,5,2,2,1,4,1.0,,,,,
2,3,3548,室田泰史,A2,7.60,38,,5,1,3,1,3,3.0,,,,,
3,4,4069,山本修一,A1,7.50,30,,4,1,,6,2,1.0,,,,,
4,4,4210,松村康太,A2,7.50,30,,4,3,2,2,,2.0,,,,,
5,6,4396,大田直弥,B1,7.40,37,,5,5,,3,2,1.0,1.0,,,,
6,7,4278,藤岡俊介,A1,7.00,35,,5,1,,2,5,1.0,5.0,,,,
7,7,4947,間庭菜摘,B1,7.00,28,,4,4,,1,3,2.0,,,,,
8,9,3623,深川真二,A1,6.80,34,,5,3,5,2,,3.0,2.0,,,,
9,10,3845,中谷朋子,A2,6.75,27,,4,1,,4,4,2.0,,,,,
10,11,3412,鈴木博,A1,6.50,26,,4,3,,2,1,5.0,,,,,
11,11,4504,前田将太,A1,6.50,26,,4,3,1,3,5,,,,,,
12,13,3978,齊藤仁,A1,6.25,25,,4,2,3,4,4,,,,,,
13,14,4156,浜野孝志,A2,6.00,30,,5,1,6,1,3,5.0,,,,,
14,14,4466,南佑典,A2,6.00,30,,5,5,3,1,,3.0,3.0,,,,
15,14,5007,近藤雄一郎,B1,6.00,24,,4,1,,3,3,5.0,,,,,
16,14,3915,繁野谷圭介,A2,6.00,30,,5,2,,2,4,3.0,4.0,,,,
17,18,4526,池田雄祐,A2,5.60,28,,5,2,3,6,,4.0,2.0,,,,
18,18,4450,平高奈菜,A1,5.60,28,,5,3,4,5,4,2.0,,,,,
19,20,4904,松本一毅,B1,5.50,22,,4,1,,4,5,3.0,,,,,
20,21,4053,芦澤望,A2,5.20,26,,5,6,4,1,,1.0,6.0,,,,
21,21,4514,上條嘉嗣,A1,5.20,36,10.0,5,2,6,2,1,4.0,,,,,
22,23,3618,海野ゆかり,A2,4.75,24,5.0,4,転,2,3,,1.0,,,,,
23,23,4047,吉永浩則,B1,4.75,19,,4,2,6,2,,5.0,,,,,
24,25,4247,齊藤優,A2,4.60,33,10.0,5,1,,2,3,4.0,4.0,,,,
25,26,4110,小澤和也,B1,4.40,22,,5,2,,6,4,2.0,6.0,,,,
26,27,5173,谷口佳蓮,B1,4.00,26,10.0,4,3,5,1,,2.0,,,,,
27,28,3224,栗山繁洋,B1,3.75,15,,4,3,,5,3,6.0,,,,,
28,29,3523,寳田亮治,B1,3.50,14,,4,6,,4,,2.0,6.0,,,,
29,30,4632,長尾京志郎,B1,3.40,17,,5,1,,4,不,5.0,6.0,,,,
30,31,4429,豊田泰洋,B1,3.25,20,7.0,4,5,,3,3,3.0,,,,,
31,32,5027,重冨勇哉,B1,3.20,16,,5,6,,5,6,3.0,4.0,,,,
32,33,3947,寺本昇平,B1,3.00,15,,5,5,3,5,,4.0,6.0,,,,
33,34,5343,小林礼央,B1,2.75,11,,4,5,,5,6,3.0,,,,,
34,35,4104,木下陽介,B1,2.40,12,,5,4,6,5,,6.0,4.0,,,,
35,36,4874,池田奈津美,B1,2.20,11,,5,4,5,6,,5.0,5.0,,,,
36,37,4765,野田部宏子,B1,2.00,8,,4,4,6,6,,5.0,,,,,
37,38,3929,杢野誓良,B1,1.60,8,,5,5,5,6,,6.0,5.0,,,,
38,39,5324,畑田希咲,B2,1.50,6,,4,5,,5,6,6.0,,,,,
39,40,4248,岡本大,B1,-0.20,9,10.0,5,6,6,5,,4.0,6.0,,,,
40,─,4656,大崎翔,B1,賞除,24,99.0,4,1,,妨,,4.0,1.0,,,,
41,─,5150,坂本雄紀,A2,賞除,36,99.0,5,1,妨,2,2,1.0,,,,,
42,─,3532,柴田光,A1,帰郷,4,,1,4,,,,,,,,,
43,─,3788,一宮稔弘,B1,帰郷,4,,2,4,エ,,,,,,,,
44,─,3866,木山誠一,B1,帰郷,5,,2,4,,6,,,,,,,
45,─,4036,金田諭,A2,帰郷,34,,5,4,,6,1,2.0,1.0,,,,
46,─,4729,佐藤謙史朗,B1,帰郷,12,,3,4,4,4,,,,,,,
