ＩＤ,主催,初日,最終日,タイトル,日数
0,箕面,2026/3/23,2026/3/27,ボートの時間ご視聴ありがとう競走,5
1,都市,2026/4/3,2026/4/8,GⅠ太閤賞競走開設70周年記念,6
2,箕面,2026/4/16,2026/4/20,報知杯争奪第44回全国地区選抜戦,5
3,都市,2026/4/23,2026/4/29,スポニチ杯争奪第60回なにわ賞,7
4,箕面,2026/5/3,2026/5/8,オール大阪2026ラピートカップ,6
5,都市,2026/5/11,2026/5/14,寝屋川市制75周年記念競走,4
6,都市,2026/5/23,2026/5/27,アクアコンシェルジュカップ,5
7,都市,2026/5/30,2026/6/3,守口市制80周年記念競走,5
8,箕面,2026/6/14,2026/6/17,日本モータボート選手会長杯争奪2026ダイスポジャンピーカップ,4
9,都市,2026/6/24,2026/6/29,ヴィーナスシリーズ第7戦／大阪スポーツ賞第37回アクアクイーンカップ,6
10,箕面,2026/7/3,2026/7/8,"日刊スポーツ盾争奪
ニッカン・コム杯 第60回しぶき杯競走",6
11,都市,2026/7/15,2026/7/21,サンケイスポーツ旗争奪第69回GSS競走,7
12,都市,2026/7/24,2026/7/27,豊中市制90周年記念競走,4
13,都市,2026/8/4,2026/8/9,にっぽん未来プロジェクト競走 in 住之江,6
14,箕面,2026/8/13,2026/8/18,大阪ダービー 第43回摂河泉競走,6
15,都市,2026/9/1,2026/9/6,日刊スポーツ杯争奪 第30回ブルースターカップ（ニッカン・コム杯）,6
16,都市,2026/9/11,2026/9/16,報知新聞社賞第62回ダイナミック敢闘旗,6
17,箕面,2026/9/18,2026/9/23,サンケイスポーツ旗争奪第55回飛龍賞競走,6
18,都市,2026/10/1,2026/10/6,2026東京・大阪・福岡三都市対抗戦,6
19,箕面,2026/10/10,2026/10/15,にっぽん未来プロジェクト競走ｉｎ住之江,6
20,箕面,2026/10/19,2026/10/24,GⅢ2026モーターボートレディスカップ,6
21,箕面,2026/11/5,2026/11/10,GⅠ第54回高松宮記念特別競走,6
22,都市,2026/11/21,2026/11/26,サンテレビ杯争奪 ボートの時間！ご視聴ありがとう競走,6
23,都市,2026/12/1,2026/12/5,BTSりんくう開設14周年記念競走,5
24,箕面,2026/12/12,2026/12/16,スポニチ杯争奪第60回住之江選手権競走,5
25,都市,2026/12/26,2026/12/31,PGⅠ第15回クイーンズクライマックス,6
26,都市,2027/1/2,2027/1/7,第65回全大阪王将戦,6
27,箕面,2027/1/10,2027/1/15,GⅢ第37回アサヒビールカップ,6
28,箕面,2027/1/25,2027/1/30,第58回住之江選手権競走（マスターズリーグ10戦）,6
29,都市,2027/2/2,2027/2/7,BTS大和ごせ開設13周年記念 トランスワードトロフィー2027,6
30,都市,2027/2/10,2027/2/15,デイリースポーツ旗争奪 第68回ホワイトベア競走,6
31,箕面,2027/2/20,2027/2/23,第19回森下仁丹杯争奪戦,4
32,箕面,2027/2/26,2027/3/3,ボートピア梅田開設20周年記念 デイリースポーツ杯争奪 2027サザンカップ,6
33,都市,2027/3/6,2027/3/11,第9回auじぶん銀行賞,6
34,都市,2027/3/18,2027/3/22,一般競走,5
35,箕面,2027/3/24,2027/3/29,スカパー！・JLC杯競走 （ルーキーシリーズ第6戦）,6
